"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GAPT",-5.367399125,-6.1808528,-18.2773868161808,6.43942242442876e-07,0.000460479457154687,6.74284789113224
"IFI44L",-5.496884675,-5.30514366666667,-18.0634251046962,6.95258659267279e-07,0.000460479457154687,6.67977742770913
"TSC22D3",-2.629653225,-2.47614085,-13.8757585043981,3.83457831922527e-06,0.00154653336837254,5.17791647657678
"CX3CR1",-4.94597585,-4.63649446666667,-13.226830970371,5.21565665379936e-06,0.00197980190511572,4.8897876859201
"CD244",-3.0766703,-3.22333801666667,-12.1697992168803,8.88422678308717e-06,0.0028658591686674,4.38018543236107
"EREG",-3.095388075,-3.14039856666667,-10.5299689953379,2.22317048402715e-05,0.005123613976224,3.47465613290541
"CXCL3",-3.820870125,-4.22232533333333,-10.2335930033097,2.66025606389476e-05,0.00572221079343762,3.2938469552775
"VNN1",-5.4782079,-5.1614724,-9.95101850095257,3.17065938209942e-05,0.00627754700662446,3.11601723394075
"MCTP2",-3.127860275,-3.26085148333333,-9.75692743081213,3.58617180471227e-05,0.00642821295994674,2.99067289133328
"OASL",-2.473542075,-2.30152256666667,-9.60650147227018,3.95123528926802e-05,0.00689116792476934,2.89167732513925
"CLEC4E",-3.1469336,-3.41252378333333,-9.35133042636821,4.67195310960017e-05,0.00743670580899814,2.71993742656037
"MX2",-1.705525425,-1.75422733333333,-9.24226026910504,5.02497545675123e-05,0.00754096898195713,2.64502623522566
"SLC22A15",-1.9379525,-1.88364758333333,-9.16891200610229,5.27949431119616e-05,0.00774285836139746,2.5941315724947
"PPBP",-2.82192515,-3.34177993333333,-9.05747785367031,5.69483119169919e-05,0.00779915462083315,2.51600057411858
"S100A8",-6.733696875,-6.76420041666667,-8.97906504640845,6.00945237273234e-05,0.00779915462083315,2.46042877985799
"P2RX7",-1.926883925,-1.76013708333333,-8.85088187226984,6.56742934985603e-05,0.00779915462083315,2.3685106638018
"IFIT2",-3.044461725,-3.11448358333333,-8.78968663340159,6.85448311585817e-05,0.00779915462083315,2.32415190466743
"PDE4B",-1.8905425,-1.72077385,-8.62854083165156,7.68134705996994e-05,0.00834468340345891,2.2058401340586
"IFIT1",-4.55802485,-4.57531866666667,-8.55053221729842,8.12206888226435e-05,0.00845350169310514,2.14777229437239
"SLC18B1",-3.65622665,-4.2092712,-8.22923360477365,0.000102680678227061,0.0097453999275048,1.90297127823601
"IFIT3",-3.007949275,-3.05091398333333,-8.17526519884878,0.000106885971418029,0.0097453999275048,1.86094059820345
"PIM1",-2.7402711,-2.30625884333333,-8.15938314945155,0.000108160607368835,0.0097453999275048,1.84852062615845
"SOCS3",-1.985545875,-1.69841115,-8.00084329799745,0.000121878944194504,0.0100956329146091,1.72325287656449
"IL1B",-4.37903965,-3.87240911666667,-7.98042736561093,0.000123785352721755,0.0101112263432087,1.70694961241407
"OR2A1-AS1",-1.82927,-2.00033836666667,-7.88175482664171,0.000133490787388772,0.0107677006377469,1.62759255652916
"RSAD2",-3.7460102,-3.55734485,-7.75960250693764,0.000146726829242899,0.0114075690253546,1.52804569704203
"IRAK3",-2.773964175,-2.81572908333333,-7.63817021094059,0.000161383222848292,0.0122508420388241,1.42762585160264
"MX1",-3.339247275,-3.30485951666667,-7.60004974749175,0.000166322201858073,0.0123365191791971,1.39579681880463
"RAB37",-2.1129688,-3.1637912,-7.4797700339762,0.000183068497118299,0.0134243296807317,1.29439825117502
"IL23A",-1.7692529,-1.72430531666667,-7.30220746391186,0.000211410442532486,0.0143638873193945,1.14196599030488
"PRKCB",-1.639137975,-1.70846623333333,-7.26791603122908,0.00021744048241355,0.0143638873193945,1.11214403057481
